user,is_red_team,isolation_forest,oneclass_svm,autoencoder
user1,0,0.5722583243577275,133.68744938727374,0.1079599792790955
user2,0,0.5436601369459593,133.37873727584872,0.23433337713755023
user3,0,0.6063360719441336,138.10352317465353,0.3481538421174884
user4,0,0.5506769897917677,133.886961856825,0.36285062734156925
user5,0,0.5972809969075739,135.4203144022024,0.2660349536307866
user6,0,0.5404986673602522,136.496620102309,0.33156805015812485
user7,0,0.5986960044817885,136.96652602798346,0.8703365236163301
user8,0,0.5250192319031045,133.49534231912168,0.16409975464379523
user9,0,0.5222500972157754,134.84086803445885,0.4419565409077482
user10,0,0.549724023744464,136.05503378561357,0.6493737783549439
user11,0,0.525965639609642,132.7508062966004,0.1629140445489938
user12,0,0.5116724561261903,139.43404765857025,0.8846400786499924
user13,0,0.5240460484446431,132.4666145571968,0.08091954452103328
user14,0,0.5506769897917677,133.7448014647388,0.33322450583617763
user15,0,0.570085539603507,135.00634479141326,0.20185471592522788
user16,0,0.5597678301527476,135.29102453797913,0.42573140568318046
user17,0,0.5391112005042892,135.0598637292899,0.5063721631092384
user18,0,0.5483799074394559,135.15531304672294,0.5095584230223045
user19,0,0.5339521840805319,133.32056419859268,0.2545386532645292
user20,0,0.5306999601187325,137.75106385941913,0.43093173540054897
user21,0,0.48494676104919854,-9.566800162748649,0.013143377167276813
user22,0,0.440168285558359,-34.71017698638616,0.015777077408134894
user23,0,0.5164357884441011,-4.578088912435419,0.000921801198897644
user24,0,0.5890679713300595,-17.400942141218138,0.04683226816170898
user25,0,0.497223933544457,-15.808565273857482,0.02018601643098718
user26,0,0.44245475234929704,-33.27772382743069,0.0030751436478088615
user27,0,0.48494676104919854,-9.566800162748649,0.013143377167276813
user28,0,0.4477665223309942,-30.643299851050955,0.02337492079314827
user29,0,0.4347694009917458,-23.978614550091862,0.04362849429084892
user30,0,0.45683411990557776,-20.266195872238,0.061688489437758245
user31,0,0.4408373086375381,-38.68087302246224,0.021766750774773226
user32,0,0.5038467976047512,-10.173871062299241,0.002993293573403877
user33,0,0.4107361558667751,-47.76710161009578,0.0041186692841304814
user34,0,0.47442054154401275,-16.057115060095214,0.005580882459546076
user35,0,0.43211205264977964,-26.93904175786949,0.0373138546629749
user36,0,0.44431041990489506,-29.51670508058615,0.0010448054879066166
user37,0,0.47715769273632347,-25.327133804874364,0.092933686560222
user38,0,0.43283741743501164,-35.4396868133467,0.004072250279421335
user39,0,0.5032415532791462,-14.599495798706556,0.0006906838574299056
user40,0,0.4515972431203076,-31.86680086436428,0.0010980572861048663
user41,0,0.4363969236577529,-36.749786300127795,0.00386476009696126
user42,0,0.4347694009917458,-23.978614550091862,0.04362849429084892
user43,0,0.51886767036125,-3.265054522216815e-05,0.003633798725751909
user44,0,0.48479849835089495,-15.03397041166076,0.008994242586337537
user45,0,0.4524466401557765,-30.303891001270358,0.0003423121774464808
user46,0,0.4909182669019133,-18.870050224162014,0.02928928264615496
user47,0,0.49216101648326943,-15.005700404762933,0.012272485514926611
user48,0,0.4732719082313003,-20.593825726239714,0.0006635308982767403
user49,0,0.45623443275171227,-25.39632569297271,0.006388044658576439
user50,0,0.46178461389176534,-19.01254263518092,0.003434545205990512
user51,0,0.4676994893450291,-13.987741320529949,0.050495599173720714
user52,0,0.5328394290933895,-5.1768955877870155,0.023465055422730995
user53,0,0.43922459153947685,-40.05547905938491,0.00595201866383547
user54,0,0.524779937547356,0.00013529765146813588,0.0016162880404308939
user55,0,0.43299387738747364,-38.05379372220392,0.002308921155264152
user56,0,0.4668363314563119,-20.65373477763964,0.024769773249923934
user57,0,0.43126941391411583,-26.946651075968816,0.006869071099739466
user58,0,0.5270138520240897,-8.864662498257616,0.0444921658511071
user59,0,0.47851577394582007,-26.052559842858983,0.026715003208196277
user60,0,0.4493153139920619,-17.830702634130716,0.0006768933679531251
user61,0,0.4219016590673082,-29.208453961150525,0.019041464449217567
user62,0,0.5029252487741307,-12.926553412044626,0.007685830671302349
user63,0,0.5150353853010978,-8.940159531236588,0.16266313020128356
user64,0,0.4493153139920619,-17.830702634130716,0.0006768933679531251
user65,0,0.4668363314563119,-20.65373477763964,0.024769773249923934
user66,0,0.45804010496711134,-28.285347548355986,0.03793661380958373
user67,0,0.44956384930682775,-30.80476240119296,0.009656648507269354
user68,0,0.5415643218339908,-2.421129463912621,0.03493825789226334
user69,0,0.5085190807860063,-6.262917160084498,0.0019530483162200226
user70,0,0.4647398603167076,-29.298771052829068,0.06236493335668036
user71,0,0.41388483925643205,-43.90197993271644,0.006419932128077167
user72,0,0.5214244284028242,-15.831664242160457,0.027322071270084528
user73,0,0.4878632503181495,-24.022708676320434,0.1096090679473095
user74,0,0.4318145913272218,-25.744320622611554,0.02363822981595747
user75,0,0.6462823579781624,-2.2054438723535554,0.12598650819801735
user76,0,0.43506022649800996,-39.76993088012668,0.01072933288772922
user77,0,0.5418117622272393,-0.0003313587835123144,0.1211771621112518
user78,0,0.5328394290933895,-5.1768955877870155,0.023465055422730995
user79,0,0.45778697440174687,-32.19356824911492,0.05863015443070823
user80,0,0.4468762910763357,-36.81096776097428,0.041082192720283815
user81,0,0.5041625957835393,-21.468944614451715,0.08926758578180072
