user,isolation_forest,oneclass_svm,autoencoder
U0001,0.05926957361068941,0.2702999861632221,0.31231026202751927
U0002,0.3673893133672677,0.37965902045708744,0.24969349763454235
U0003,0.07230295861407221,0.42037221505100103,0.3810068596552752
U0004,0.12064625244994753,0.12908315288090255,0.006693247965678328
U0005,0.31374473966397914,0.2537764485090712,0.1260364285794222
U0006,0.24950752092535755,0.08165365128721042,0.25915156807444945
U0007,0.03631479464590065,0.44621638644346284,0.36035979501632703
U0008,0.4474515812438269,0.16412006523245443,0.10139559774243434
U0009,0.137471084189196,0.3558932044239258,0.41780245804411054
U0010,0.034179200648535524,0.44006610567495985,0.3529144813957323
U0011,0.3576190757212649,0.36069249575187196,0.3446785640520575
U0012,0.3667732425581885,0.31668306946689273,0.4149267969955842
U0013,0.3158015627475453,0.41354777636980694,0.21176438054535252
U0014,0.09278474710399753,0.19151279519817221,0.37976378877015216
U0015,0.15456972315350503,0.07387902314124623,0.10479068116507861
U0016,0.07656149509658028,0.46655158826526794,0.44792313116376514
U0017,0.07315102570512616,0.23802062662993195,0.17126461080450706
U0018,0.1692792692419069,0.0009293399986147199,0.22199498832802417
U0019,0.3618550358790969,0.004044130302691629,0.3779423499310568
U0020,0.2072561098641288,0.4963217539660026,0.12251528566420983
U0021,0.07589349990698357,0.2525378007114082,0.4062868509506687
U0022,0.13087345410539508,0.47027822912397577,0.14998118763492263
U0023,0.3711183052035814,0.12108327710631211,0.012407606251033931
U0024,0.4706798866693875,0.20929470790907445,0.11853981860901797
U0025,2.465470834137383,2.456539972412919,2.4116820678191173
U0026,0.15365802193469508,0.31850633085248375,0.20256505258972235
U0027,0.03646050775987769,0.20989158562965582,0.32456555512610424
U0028,0.23599697042847595,0.44243996669613045,0.1077425363743324
U0029,0.4349572062401699,0.19092855676893705,0.49651092991427814
U0030,0.09932894105557138,0.30097313497809375,0.1820357254206918
U0031,0.16430048809217257,0.43949075638093105,0.3030098443209379
U0032,0.31493097665567654,0.1551918078351746,0.22933758852255837
U0033,0.048460129051460465,0.4173698802950971,0.2832549058657373
U0034,0.17375918681830405,0.3263675121697487,0.3780915065655179
U0035,0.4017654006765993,0.29822741755977805,0.4355699691039167
U0036,0.2830651382661006,0.12624763774941133,0.2713593909565193
U0037,0.04822613490098998,0.24226418280657414,0.09235915028572717
U0038,0.39119600940206056,0.18040650861914315,0.375340542537467
U0039,0.47965248073775296,0.08736537050842319,0.48479782016624806
U0040,0.21216829827965122,0.058389547626310656,0.33307376651497644
U0041,0.2374630774847601,0.07293395567054184,0.087950492554771
U0042,0.3818574427550784,0.21992123772780353,0.41132530437961246
U0043,0.2659829803578956,0.04174834032524655,0.4387418668647942
U0044,0.42432683586716013,0.045713754065451195,0.25200406332185804
